time_utc,Bx,By,Bz,Babs
2022-03-02T12:29:49.497585042Z,-4.469728,4.55855,0.6018425,6.412571
2022-03-02T12:29:49.560085917Z,-4.465397,3.650816,0.390391,5.781058
2022-03-02T12:29:49.622586792Z,-4.321,2.733611,0.3134969,5.12269
2022-03-02T12:29:49.685087667Z,-4.313681,2.110601,0.3676615,4.816394
2022-03-02T12:29:49.747588542Z,-4.325799,1.838375,0.6466969,4.74451
2022-03-02T12:29:49.810089417Z,-4.393415,1.793203,1.127175,4.877315
2022-03-02T12:29:49.872590292Z,-4.611104,1.763623,1.792374,5.252166
2022-03-02T12:29:49.935091167Z,-4.671694,1.33999,2.156454,5.317009
2022-03-02T12:29:49.997592042Z,-4.581931,0.7526019,2.608494,5.325856
2022-03-02T12:29:50.060092917Z,-4.482756,0.3755231,3.182273,5.510262
2022-03-02T12:29:50.122593792Z,-3.770489,0.2787113,3.60798,5.226068
2022-03-02T12:29:50.185094667Z,-3.219964,0.6553114,4.169549,5.308742
2022-03-02T12:29:50.247595542Z,-3.110502,1.619732,4.978724,6.089864
2022-03-02T12:29:50.310096417Z,-2.560084,1.96224,5.743155,6.586976
2022-03-02T12:29:50.372597292Z,-1.86274,2.14741,6.262292,6.877316
2022-03-02T12:29:50.435098167Z,-1.118528,2.924591,6.367784,7.095985
2022-03-02T12:29:50.497599042Z,-0.5930198,4.099638,6.41326,7.634697
2022-03-02T12:29:50.560099917Z,-0.3274339,5.022092,6.719158,8.394981
2022-03-02T12:29:50.622600792Z,0.01617299,5.595883,7.228129,9.141117
2022-03-02T12:29:50.685101667Z,0.1036161,5.821557,7.583403,9.560819
